Country code,WT No.,Type,Catalogue,Short descr. (EN) 8 char,LEN,Short descr. (local language) 8 char,LEN,Long descr. (EN) 25 char,Long descr. (local language) 25 char,Short explanation  EN (255 char),Short explanation  local language (255 char),Displayed on payslip,"GLOBAL
Scope","A
Employee","B
Temp/ Seas empl","C
Apprentice","D
Students ","F
Expatriate","G
Inpatriate","1/2
Externals",Contractor,"L
Technical Group","other (E,I,K,L)","GLOBAL
Assignment",HR Process,Local Contact person (based on info from process),C&B BW Category,C&B BW Sub-Category,"GLOBAL
Input",Symbolic accounts,"Entered with + / -
(Payment +, Deduction -)",Amount /Unit,Min. limit,Max. limit,Infotype-0008,Infotype-0014,Infotype 9770 (subtypes available),Infotype 0019 (Subtype),Infotype-0015,"LOCAL
Configuration",Infotype-2010,Gross/Net?,Income Category,工资总额(法律）系统里无对应的工资项,Calculate into Monthly Gross Income -Actaul payment(payslip),Labor Union Base /191,Calculate into Monthly Taxable Income (/103)?,Monthly Net Income for Gross-up (Tax paid by ER) /104 ?,Pre-tax Gross Deduction?,Pre-tax Net Deduciton?,Post-tax Deduction? /110,Social security base  /150,Annual salary base for Statutory Leave (prevoius 12 months),Annual salary base for Severance (prevoius 12 months) /192,Annual salary base for STI  ,OT hourly rate base?,leave deduction daily rate base?,Only for GL posting?,SAP Auto-Calculating,How Amount calculated ?,Newly Add,Infotype,Information need to be maintained,Remarks,Selection,C&B,T&A,Mobility,Payroll,Separation,Company,BCL,BMSC,BMSM,BTES,BHC,BCS,BSA,GBMS,BMSQ,BTPU,GL Account,BCL ,Column 85,BMSC,BMSC,BMSM,Column 89,BTES,Column 91,BHC,Column 93,BCS,Column 95,BSA,Column 97,GBMS,Column 99,BMSQ,Column 101,BTPU,Column 103,Comments,Symbolic (Debit),"Symbolic
(Credit)",Symbolic Account Group Text
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Debit,Credit,Debit,Credit,Debit,Credit,Debit,Credit,Debit,Credit,Debit,Credit,Debit,Credit,Debit,Credit,Debit,Credit,Debit,Credit,,,,
CN,1000,Payment,Salary,Mon.Sal,7,基本薪资,4,Monthly Salary ,基本薪资,Monthly Salary,基本薪资,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Base Pay,Regular base pay,,,+,Amount,,,X,,,,,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,Not Applicable,,,"monthly salary, pay scale group (= individual grade), capacity/ Utility level, pay scale type (e.g. BHC, BCS), pay scale area (e.g. use for salary structure),pay scale level (apply ""00"" for all), working hours (automatically link with working calendar-> no need to manual maintain), global salary grade (manual maintain need for VS1.1 and above when promotion in managerial position), salary change reason",,W for new staff,W for change,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011000,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,2801,28F1,Monthly Salary基本薪资
CN,1002,Payment,Salary,Ser.Sal,7,劳务报酬收入,6,Service Agreement Salary,劳务报酬收入,Service Agreement Salary,劳务报酬收入,X,,,,,X,,,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Base Pay,Regular base pay,,,+,Amount,,,X,,,,,,,Gross,Salary,Y,Y,N,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,Not Applicable,,,"monthly salary, pay scale group (= individual grade), capacity/ Utility level, pay scale type (e.g. BHC, BCS), pay scale area (e.g. use for salary structure),pay scale level (apply ""00"" for all), working hours (automatically link with working calendar-> no need to manual maintain), global salary grade (manual maintain need for VS1.1 and above when promotion in managerial position), salary change reason", (w/o Annual Salary),W for new staff,W for change,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6042050,2503300,6042050,2503001,6042050,2503001,6042050,2503300,6042050,2503300,6042050,2503300,6042050,2503300,6042050,2503001,6042050,2503001,6042050,2503001,,2802,28F2,Service Agreement Salary劳务报酬收入
CN,1005,Store,Salary,Int.DSal,8,实习生日工资,6,Daily Salary for Intern,实习生日工资,Daily Salary for Intern,实习生日工资,,,,,,X,,,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Base Pay,Regular base pay,,,+,Amount,,,X,,,,,,,Gross,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,"monthly salary, pay scale group (= individual grade), capacity/ Utility level, pay scale type (e.g. BHC, BCS), pay scale area (e.g. use for salary structure),pay scale level (apply ""00"" for all), working hours (automatically link with working calendar-> no need to manual maintain), global salary grade (manual maintain need for VS1.1 and above when promotion in managerial position), salary change reason",,W for new staff,W for change,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
CN,1100,Payment-Inp,Salary,MsalCNY,7,基本薪资-外籍本币,9,Monthly Salary - CNY (Inp),外籍员工基本工资-本币,Monthly salary CNY part for Inpatriate,外籍员工基本工资-本币,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Base Pay,Regular base pay,,,+,Amount,,,,X,,,,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,Not Applicable,,,"monthly salary, pay scale group (= individual grade), capacity/ Utility level, pay scale type (e.g. BHC, BCS), pay scale area (e.g. use for salary structure),pay scale level (apply ""00"" for all), working hours (automatically link with working calendar-> no need to manual maintain), global salary grade (manual maintain need for VS1.1 and above when promotion in managerial position), salary change reason",,,W,,R,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011000,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,2803,28F3,Monthly salary for Inpatriate外籍员工基本工资-本币
CN,1101,Payment-Inp,Salary,MsalFC,6,基本工资-外籍外币,9,Monthly Salary - FC (Inp),外籍员工基本工资-外币,Monthly salary foreign currency part for Inpatriate,外籍员工基本工资-外币,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Base Pay,Regular base pay,,,+,Amount,,,,X,,,,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,Not Applicable,,,"payment amount, currencies, payment periods",,,W,,R,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011000,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,2804,28F4,Monthly salary for Inpatriate外籍员工基本工资-外币
CN,1500,Payment,Salary,Int.Sal,7,实习生工资,5,Intern Salary,实习生工资,Intern Salary,实习生工资,X,,,,,X,,,,,,,,4.4 Manage Payroll,SME-Payroll,Base Pay,Regular base pay,,,+,Amount,,,,,,,,,,Gross,Salary,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,With payroll driver,,,automatically calculation,,,R,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6042050,2503300,6042050,2503001,6042050,2503001,6042050,2503300,6042050,2503300,6042050,2503300,6042050,2503300,6042050,2503001,6042050,2503001,6042050,2503001,,2805,28F5,Intern Salary实习生工资
CN,2000,Payment,Salary,Inc.Sal,7,考核工资,4,Incentive Salary,考核工资,Incentive Salary,考核工资,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Base Pay,Regular base pay,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,payment amount upload by C&B,,,W,,,R,,,N,N,N,N,N,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011000,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,2806,28F6,Incentive Salary考核工资
CN,2010,Payment,Allowance,All/Pos,7,岗位津贴,4,Position Allowance,岗位津贴,Position Allowance,岗位津贴,X,,X,X,,,,,,,,,,4.1 Manage & Administer Rewards,SME-C&B,Base Pay,Other job related pay,,,+,Amount,,,,X,,,,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment amount,,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011540,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,282A,28F7,Position Allowance岗位津贴
CN,2020,Payment,Allowance,All/Tra,7,交通津贴,4,Transpor. Allow Payout ,交通津贴,Transportation Allowance Payout Amount,交通津贴支付金额,X,,X,X,,X,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Base Pay,Other job related pay,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,"Report before payroll run,result save to IT15",,, payment amount (0015:automatically calculation),,,W,,,R,,,Y,N,N,N,Y,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011540,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,282G,28F8,Transpor. Allow Payout 交通津贴
